SRA_Run,biosample,geo_loc_name,marine_region,geographic_location(region_and_locality),lat_lon,geographic_location(latitude),geographic_location(longitude),geographic_location(depth),latitude_start,latitude_end,longitude_start,longitude_end,submission
SRR11362474,SAMN14419043,,,South Korea: Seoul,37.505580 N 126.955897 E,,,,,,,,"Chung-Ang Univiersity, ByungHee Chun; 2020-03-20"
SRR3589012,SRS1462003,,,Sweden: Coastal Baltic Sea sediment,57.89297088 N 16.58553428 E,,,,,,,,"Linnaeus University, Elias Broman; 2016-05-23"
SRR5252953,SAMN05384413,,,"Germany: Schloeppnerbrunnen fen II, Fichtel Mountains, northeastern Bavaria",50.131881 N 11.881046 E,,,,,,,,"University of Vienna, Bela Hausmann; 2016-07-13"
SRR5196748,SAMN06250062,,,Germany: giessen,50.32 N 8.413 E,,,,,,,,"Max Planck Institute for Terrestrial Microbiology, Qicheng Bei; 2017-01-23"
SRR6399541,SRS2776507,,,"USA:california,San Diego",33.74226913 N 116.4074047 W,,,,,,,,"Stanford University, Chao Jiang; 2017-12-20"
SRR7540203,SAMN09201381,,,USA: Massachusetts,42.481016 N 72.178343 W,,,,,,,,JGI; 2018-05-11
ERR1719223,ERS491394,,"(search radius=5 degrees) Marine Ecoregion:Central Chile (MRGID:22007), Marine Ecoregion:Araucanian (MRGID:22009)",,"(latituden=-33.6895, longitudee=-71.998)",,,,-33.6895,-33.6703,-71.998,-71.9535,EBI; 2016-11-11
SRR11826708,SRS6691810,,,USA: Colorado,38.9206 N 106.9489 W,,,,,,,,JGI; 2020-04-01
ERR1712026,ERS489312,,"(search radius=5 degrees) Marine Province:Central Indian Ocean Islands (MRGID:21774), Marine Ecoregion:Chagos (MRGID:21836)",,"(latituden=-2.0465, longitudee=72.1568)",,,,-2.0465,-2.0389,72.1568,72.1687,EBI; 2016-10-29
SRR10748758,SAMN13639902,,,"Pacific Ocean: North Pacific Gyre, Station ALOHA",26.48467 N 158.48617 W,,,,,,,,"University of Hawaii, John Eppley; 2019-12-19"
SRR10312744,GSM4131188,,,,,,,,,,,,"Dome, Dome Adoonsook; 2019-10-18"
SRR6048340,SAMN07632851,,,USA: Iowa,42.0266187 N 93.6486594 W,,,,,,,,JGI; 2017-09-11
SRR9971574,SRS5271427,,,Chile: Atacama Desert,20.953335 S 70.019611 W,,,,,,,,"Johns Hopkins, Gherman Uritskiy; 2019-08-13"
SRR2134255,SRS1016624,,,Saudi Arabia: Red Sea,24.43 N 36.16 E,,,,,,,,"King Abdullah University of Science and Technology, Mohamed Fauzi Haroon; 2015-07-29"
SRR5834166,SRS2360607,,,"USA:Trout Bog, Vilas County, Wisconsin",46.041 N 89.686 W,,,,,,,,JGI; 2017-01-25
SRR11541450,SAMN14595143,,,,,,,,,,,,"University of Aberdeen, Ashish Malik; 2020-04-14"
SRR9016510,SRS4726074,,,USA: California,33.7417 N 117.7042 W,,,,,,,,JGI; 2019-04-25
SRR1006023,SAMN00262685,,,"USA: Richmond Mine at Iron Mountain, CA",40.68 N 122.19999999999999 W,,,,,,,,JGI; 2011-04-30
ERR3586812,SAMEA2623197,,"(search radius=5 degrees) Marine Ecoregion:Northern California (MRGID:21844), Marine Ecoregion:Southern California Bight (MRGID:22001)",,"(latituden=32.9986, longitudee=-121.7698)",,,,32.9986,33.0234,-121.7698,-121.736,EBI; 2019-10-10
SRR11178183,SRS6213722,,,USA: Pacific Ocean,33.44 N 118.47 W,,,,,,,,"Woods Hole Oceanographic Institution, Sarah Hu; 2020-02-25"
SRR5131942,SRS1879461,,,"Pacific Ocean: North Pacific Gyre, Station ALOHA",24.46 N 156.74 W,,,,,,,,"SCOPE, John Eppley; 2016-12-23"
SRR7086126,SRS3237300,,,USA: Washington,46.3020 N 123.0360 W,,,,,,,,JGI; 2018-03-22
SRR5466728,SRS2137833,,,"USA:Illinois, USA",40.1191 N 88.1952 W,,,,,,,,JGI; 2017-01-25
ERR3587014,SAMEA2622973,,,,"(latituden=6.6112, longitudee=-153.0543)",,,,6.6112,6.6768,-153.0543,-153.1113,EBI; 2019-10-10
SRR8141077,SRS3997519,,,Indian Ocean: SW Indian Ridge Lower Crust and Moho,32.42 S 57.16 E,,,,,,,,"Woods Hole Oceanographic Institution, Virginia Edgcomb; 2018-10-17"
SRR2083776,SAMN03801610,,,USA: Ohio,,,,,,,,,"Auburn University, Molli Newman; 2015-06-30"
SRR3501866,SRS1435443,,,Singapore:Ulu Pandan,1.33 N 103.75 E,,,,,,,,"Singapore Centre for Environmental Life Sciences Engineering, Rohan Williams; 2016-05-05"
SRR5213861,SAMN06267300,,,"USA:Old Woman Creek National Estuarine Research Reserve, Ohio, USA",41.2240 N 82.3040 W,,,,,,,,JGI; 2017-01-25
SRR3068110,SRS1229537,,,China:Jinhua,,,,,,,,,"Nanjing Agricultural University, Chao Xue; 2015-12-30"
SRR11665716,SAMN14515359,,,Antarctica:Antarctic Ocean,46.5954 S 142.0314 E,,,,,,,,JGI; 2020-04-01
SRR6349882,SAMN08124340,,,"Australia: Avon, South Australia",34.23981 S 138.31335 E,,,,,,,,"Department of Economic Development, Jobs, Transport and Resources, Helen Hayden; 2017-12-03"
SRR5196772,SRS1936023,,,Germany: giessen,50.32 N 8.413 E,,,,,,,,"Max Planck Institute for Terrestrial Microbiology, Qicheng Bei; 2017-01-23"
SRR7949674,SRS3870187,,,USA: California,36.8313 N 121.9047 W,,,,,,,,JGI; 2018-05-11
SRR2089032,SRS970988,,,Canada: Southwestern British Columbia,49 N 123 W,,,,,,,,"The University of British Columbia, Anamaria Crisan; 2015-06-24"
SRR9016283,SAMN11510389,,,USA: California,33.7417 N 117.7042 W,,,,,,,,JGI; 2019-04-25
ERR1719279,SAMEA2656991,,"(search radius=5 degrees) Marine Ecoregion:Eastern Galapagos Islands (MRGID:21870), Marine Ecoregion:Guayaquil (MRGID:21974)",,"(latituden=-5.252, longitudee=-85.2052)",,,,-5.252,-5.2527,-85.2052,-85.213,EBI; 2014-07-17
ERR3586897,SAMEA2622054,,"(search radius=5 degrees) Marine Province:Easter Island (MRGID:15120), Marine Ecoregion:Easter Island (MRGID:15120)",,"(latituden=-25.8076, longitudee=-111.6906)",,,,-25.8076,-25.8339,-111.6906,-111.8078,EBI; 2019-10-10
SRR6285253,SRS2682057,,,Svalbard: Sassendalen,78.270961 N 17.228315 E,,,,,,,,"Copenhagen University, Morten Schostag; 2017-11-09"
SRR1582003,SRS706470,,,"Bahamas: Highborne Cay, Bahamas",24.72 N 76.82 W,,,,,,,,"University of Florida, Jennifer Mobberley; 2014-09-18"
SRR12063573,SAMN15332838,,,Germany: Ukermark,53.38673399 N 13.68631799 E,,,,,,,,"Leibniz Institute of Freshwater Ecology and Inland Fisheries, Danny Ionescu; 2020-06-20"
SRR5270438,SRS1990259,,,Atlantic Ocean: Sargasso Sea,15.15 N 57.49 W,,,,,,,,"Columbia University, Monica Rouco Molina; 2017-02-15"
SRR1927220,SRS885210,,,USA: Lake Erie,41.76 N 83.31 W,,,,,,,,"James Madison University, Morgan Steffen; 2015-03-10"
ERR1711902,SAMEA2731945,,(search radius=5 degrees) Marine Ecoregion:Line Islands (MRGID:21839),,"(latituden=0.0396, longitudee=-153.8066)",,,,0.0396,0.0429,-153.8066,-153.82,EBI; 2016-10-29
SRR6960550,SRS3140165,,,USA: Illinois,40.1200 N 87.6300 W,,,,,,,,JGI; 2018-03-22
SRR1688319,SRS776950,,,USA: Pacific Ocean - Juan de Fuca Ridge,45.933333 N 130.516667 W,,,,,,,,"Harvard University, Heather Olins; 2014-12-01"
SRR3719709,SRS1525507,,,missing,48.6000 N 123.5000 W,,,,,,,,JGI; 2016-06-09
SRR6006834,SAMN07554649,,,Bahamas: Highbourne Cay,24.72 N 76.82 W,,,,,,,,"University of Florida, Jamie Foster; 2017-08-24"
ERR1719393,ERS492742,,"(search radius=5 degrees) Marine Province:Marquesas (MRGID:21741), Marine Ecoregion:Marquesas (MRGID:21741)",,"(latituden=-8.9068, longitudee=-140.283)",,,,-8.9068,-8.8951,-140.283,-140.3174,EBI; 2014-07-17
SRR11015091,SRS6098544,,,not applicable,,,,,,,,,"Hongkong university of science and technology, Yingdong Li; 2020-02-04"
SRR8356890,SRS4397419,,,Japan:Iwate,,,,,,,,,"Iwate Biotechnology Research Center, Yuichi Sakamoto; 2019-02-20"
SRR2089022,SRS971014,,,Canada: Southwestern British Columbia,49 N 123 W,,,,,,,,"The University of British Columbia, Anamaria Crisan; 2015-06-24"
ERR1712185,SAMEA2619675,,"(search radius=5 degrees) Marine Province:Mediterranean Sea (MRGID:8552), Marine Ecoregion:Tunisian Plateau/Gulf of Sidra (MRGID:21898), Marine Ecoregion:Ionian Sea (MRGID:3351)",,"(latituden=35.759, longitudee=14.2574)",,,,35.759,35.7392,14.2574,14.3321,EBI; 2014-07-17
SRR5204210,SAMN06267575,,,"USA:Madison, Wisconsin, USA",43.076217 N 89.411742 W,,,,,,,,JGI; 2017-01-25
ERR3587092,ERS489136,,"(search radius=5 degrees) Marine Province:Central Indian Ocean Islands (MRGID:21774), Marine Ecoregion:Maldives (MRGID:21835)",,"(latituden=5.9998, longitudee=73.9067)",,,,5.9998,5.9997,73.9067,73.914,EBI; 2019-10-10
SRR6122752,SAMN07746097,,,not applicable,,,,,,,,,"Max Planck Institute for Terrestrial Microbiology, Jingjing Peng; 2017-10-05"
SRR6831057,SAMN08634621,,,Atlantic Ocean:Southern Atlantic Ocean,28.2362 S 38.4949 W,,,,,,,,JGI; 2018-03-05
ERR1712127,SAMEA2621468,,"(search radius=5 degrees) Marine Province:Magellanic (MRGID:21756), Marine Ecoregion:Patagonian Shelf (MRGID:8586)",,"(latituden=-54.3739, longitudee=-65.1342)",,,,-54.3739,-54.3793,-65.1342,-65.0211,EBI; 2016-10-29
SRR10748775,SAMN13639921,,,"Pacific Ocean: North Pacific Gyre, Station ALOHA",26.48483 N 158.53600 W,,,,,,,,"University of Hawaii, John Eppley; 2019-12-19"
SRR7523233,SAMN09201305,,,USA: California,37.8719 N 122.2585 W,,,,,,,,JGI; 2018-05-11
SRR5252353,SAMN06268240,,,"USA:Hopland, California, USA",38.97364 N 123.117453 W,,,,,,,,JGI; 2017-01-25
SRR7523397,SAMN09631184,,,Canada:British Columbia,53.801963 N 128.832635 W,,,,,,,,"National Research Council Canada, Julien Tremblay; 2018-07-09"
ERR2562192,SAMEA4644720,,,Belgium,,50°99'85.06'',3°78'51.70''E,0.1,,,,,EBI; 2018-07-04
ERR3587188,ERS492177,,"(search radius=5 degrees) Marine Ecoregion:Eastern Galapagos Islands (MRGID:21870), Marine Ecoregion:Cocos Islands (MRGID:21970)",,"(latituden=2.0299, longitudee=-84.5546)",,,,2.0299,2.0663,-84.5546,-84.5304,EBI; 2014-09-13
SRR6201536,SRS2617708,,,"USA:Elkhorn Slough, Moss Landing, CA",36.8 N 121.8 W,,,,,,,,JGI; 2017-01-25
SRR5211060,SAMN06264814,,,Atlantic Ocean:Southern Atlantic ocean,28.2362 S 38.4949 W,,,,,,,,JGI; 2017-01-25
SRR6233176,SRS2643037,,,Atlantic Ocean:Southern Atlantic ocean,,,,,,,,,JGI; 2017-09-11
ERR4084828,ERS4537785,,,Norway,,68.787,15.4063,10,,,,,EBI; 2020-05-05
SRR3719448,SRS1525434,,,missing,48.7299 N 123.5699 W,,,,,,,,JGI; 2016-06-13
SRR8485594,SAMN10817728,,,China:Guangzhou SBR_BY7,23.1 N 113.4 E,,,,,,,,"School of Environmental Science and Engineering, Guangzhou University, Jia Yan; 2019-01-25"
ERR1739837,ERS491904,,,,"(latituden=-12.9119, longitudee=-96.1101)",,,,-12.9119,-12.904,-96.1101,-96.1216,EBI; 2014-07-17
SRR8437493,SAMN10351009,,,France: Rollainville,48.3625 N 5.7397 E,,,,,,,,JGI; 2018-10-30
SRR6399833,SAMN08216180,,,"Australia:NA,Melbourne",37.8136276 S 144.9630576 E,,,,,,,,"Stanford University, Chao Jiang; 2017-12-20"
SRR5246805,SAMN06268461,,,"USA: Iron Mountain Mine, Redding, CA",40.7 N 122.5 W,,,,,,,,JGI; 2017-01-25
SRR7523451,SRS3547663,,,Canada:British Columbia,53.801963 N 128.832635 W,,,,,,,,"National Research Council Canada, Julien Tremblay; 2018-07-09"
SRR10090629,GSM4072299,,,,,,,,,,,,"DiRuggiero, Biology, The Johns Hopkins Univeristy, Diego Gelsinger; 2019-09-09"
ERR3586735,ERS1309875,,[AO] Arctic Ocean (MRGID:1906),,,,,,61.5754,61.5128,-55.9846,-55.9886,EBI; 2016-10-29
SRR8549479,SAMN10864948,,,Norway: Oslo,59.9979 N 10.7895 E,,,,,,,,JGI; 2019-02-01
SRR6205428,SRS2620638,,,USA: Colorado Plateau,38.42 N 109.4099 W,,,,,,,,JGI; 2017-09-22
SRR11565847,SRS6498407,,,USA: Colorado,38.9206 N 106.9489 W,,,,,,,,JGI; 2020-04-01
ERR2678643,ERS2591200,,,,,,,,,,,,EBI; 2018-08-31
ERR1712018,SAMEA2656995,,(search radius=5 degrees) Marine Province:West and South Indian Shelf (MRGID:21777),,"(latituden=14.5644, longitudee=70.0096)",,,,14.5644,14.5596,70.0096,69.0104,EBI; 2014-07-17
SRR1230757,SRS584256,,,Sargasso Sea,31.40 N 64.10 W,,,,,,,,"University of Southern California, Rohan Sachdeva; 2014-03-27"
ERR2497796,SAMEA1061495,,,Baltic Sea,,58.1323,10,,,,,,EBI; 2018-04-08
SRR12335431,SAMN14512964,,,Indian Ocean: Subantarctic,46.5954 S 142.0314 E,,,,,,,,JGI; 2020-03-31
ERR3586909,ERS493304,,,,"(latituden=31.5213, longitudee=-158.9958)",,,,31.5213,31.493,-158.9958,-159.0606,EBI; 2019-10-10
SRR7977606,SAMN08779545,,,USA: Colorado,38.9225 N 106.9514 W,,,,,,,,JGI; 2018-03-22
SRR12234193,SAMN14511381,,,USA: California,33.919 N 117.6176 W,,,,,,,,JGI; 2020-03-31
SRR5196773,SRS1936024,,,Germany: giessen,50.32 N 8.413 E,,,,,,,,"Max Planck Institute for Terrestrial Microbiology, Qicheng Bei; 2017-01-23"
SRR1283306,SAMN02732188,,,France: Champs-sur-Marne,,,,,,,,,"CNRS, Noemie Pascault; 2014-04-23"
SRR8959051,SRS4675437,,,"USA: Madison, WI",43.035801 N 89.359081 W,,,,,,,,"University of Wisconsin - Madison, Matthew Scarborough; 2019-04-25"
SRR5435112,SRS2113733,,,"USA: Lake Washington, Seattle, WA",48.3807 N 122.1599 W,,,,,,,,JGI; 2017-01-25
SRR11622286,SRS6545457,,,USA: Florida,26.6539 N 80.6288 W,,,,,,,,JGI; 2020-03-31
SRR5207917,SRS1943072,,,"USA: Wyoming, Yellowstone National Park",44.539 N 110.798 W,,,,,,,,JGI; 2017-01-25
ERR3170072,SAMEA5366155,,,Denmark,,55.57524,9.747566,,,,,,EBI; 2019-04-01
SRR5343985,SAMN06563313,,,"Australia:Sydney,Chowder Bay",33.85 S 151.25 E,,,,,,,,"Singapore Centre for Environmental Life Sciences Engineering, Rohan Williams; 2017-03-13"
ERR908620,SAMEA3445035,,,Pacific Ocean,,45.922741,-129.988104,1520,,,,,EBI; 2015-08-05
SRR3882727,SRS1554457,,,USA:North Pacific,48.575 N 125.5 W,,,,,,,,"University of Washington, Bryndan Durham; 2016-07-11"
SRR9971559,SAMN12567479,,,Chile: Atacama Desert,20.953335 S 70.019611 W,,,,,,,,"Johns Hopkins, Gherman Uritskiy; 2019-08-13"
SRR7962480,SRS3875289,,,USA: California,36.8313 N 121.9047 W,,,,,,,,JGI; 2018-05-11
ERR1711945,SAMEA2619959,,(search radius=5 degrees) Marine Ecoregion:Gulf of Oman (MRGID:4267),,"(latituden=20.8222, longitudee=63.5133)",,,,20.8222,20.8199,63.5133,63.5138,EBI; 2014-07-17
ERR1719277,SAMEA2732373,,,,"(latituden=17.0149, longitudee=-118.9173)",,,,17.0149,17.0109,-118.9173,-118.9186,EBI; 2016-11-11
SRR8549474,SRS4342628,,,Norway: Oslo,59.997 N 10.7902 E,,,,,,,,JGI; 2019-02-01
SRR9849976,SRS5169439,,,"Atlantic Ocean: TAG Hydrothermal Vents, Mid-Atlantic Ridge",26.137195 N 44.826443 W,,,,,,,,"University of Delaware, Sean McAllister; 2019-07-22"
SRR9607958,SAMN12129230,,,"USA:Connecticut,Groton",41.30 N 72.06 W,,,,,,,,"Smith College, Jean-David Grattepanche; 2019-06-24"
SRR1580580,SRS705553,,,"Bahamas: Highborne Cay, Bahamas",24.72 N 76.82 W,,,,,,,,"University of Florida, Jennifer Mobberley; 2014-09-18"
SRR6201979,SRS2618098,,,Canada: Lake Erie,41.77 N 81.73 W,,,,,,,,JGI; 2017-01-25
ERR3046948,SAMEA5206742,,,,,,,,,,,,EBI; 2019-08-08
SRR6960803,SRS3140174,,,Japan: Hyogo Prefecture,34.6500 N 135.0500 E,,,,,,,,JGI; 2018-03-22
SRR5428633,SAMN06266374,,,"USA:Duke University, North Carolina, USA",36.0014 N 78.938218 W,,,,,,,,JGI; 2017-01-25
SRR8272512,SAMN10506008,,,"USA: North Dakota, Cottonwood Lake Study Area",47.0988 N 99.1039 W,,,,,,,,"Pacific Northwest National Laboratory, Hugh Mitchell; 2018-11-30"
SRR5253617,SAMN05384298,,,"Germany: Schloeppnerbrunnen fen II, Fichtel Mountains, northeastern Bavaria",50.131881 N 11.881046 E,,,,,,,,"University of Vienna, Bela Hausmann; 2016-07-13"
ERR1711911,SAMEA2657003,,,,"(latituden=41.6666, longitudee=2.7962)",,,,41.6666,41.6685,2.7962,2.7958,EBI; 2014-07-17
SRR3731810,SRS1531379,,,Antarctica,72.31 S 112.43 W,,,,,,,,"Chungbuk National University, So-Jeong Kim; 2016-06-28"
SRR9694524,SRS5106180,,,Germany: giessen,50.32 N 8.413 E,,,,,,,,"Max Planck Institute for Terrestrial Microbiology, Qicheng Bei; 2019-07-16"
SRR10005838,SAMN12598963,,,India: Sundarban mangrove forests,22.10 N 88.47 E,,,,,,,,"Bose Institute, Abhrajyoti Ghosh; 2019-08-19"
ERR3322238,SAMEA5564709,,,Sweden,,56°55.851,17°03.640,2,,,,,EBI; 2020-07-29
SRR8536098,SAMN10864998,,,USA: Oregon,46.1812 N 123.1834 W,,,,,,,,JGI; 2019-02-01
SRR4021770,SAMN05518650,,,"USA:Harvard Forest LTER, Petersham, MA, USA",42.531427 N 72.189946 W,,,,,,,,JGI; 2016-08-06
SRR5500552,SRS2163169,,,"USA: Lake Washington, Seattle, Washington",48.3807 N 122.1599 W,,,,,,,,JGI; 2017-02-17
SRR8394213,SRS4208559,,,Atlantic Ocean,28.999982 N 14.999994 W,,,,,,,,JGI; 2018-05-08
ERR2004624,SAMEA104120081,,,China,,37��34��58.512��,80��08��48.662��,0.1-0.4,,,,,EBI; 2019-01-02
SRR5500669,SAMN06344093,,,"USA: Lake Washington, Seattle, Washington",48.3807 N 122.1599 W,,,,,,,,JGI; 2017-02-17
SRR3939241,SAMN05426706,,,Pacific Ocean: California Current System,38.65 N 123.66 W,,,,,,,,"University of North Carolina at Chapel Hill, Natalie Cohen; 2016-07-21"
SRR1204512,SAMN02628433,,,Atlantic Ocean:Western Tropical North Atlantic Ocean,12.41 N 52.22 W,,,,,,,,"University of Georgia, Brandon Satinsky; 2014-02-05"
SRR6244776,SAMN07631318,,,France: Champenoux,48.7585 N 6.3578 E,,,,,,,,JGI; 2017-09-11
SRR3233207,SRS1345385,,,USA: Station 70 at the Neuse River Estuary,35.01472 N 76.95943 W,,,,,,,,"UNC AT CHAPEL HILL, Weida Gong; 2016-03-07"
SRR6227641,SRS2638630,,,"USA:Hopland, California, USA",38.97364 N 123.117453 W,,,,,,,,JGI; 2017-09-11
SRR7004416,SAMN08777609,,,Colombia: Department of Meta,4.2396 N 73.2024 W,,,,,,,,JGI; 2018-03-22
SRR7687107,SRS3664903,,,USA: Oregon,46.1812 N 123.1834 W,,,,,,,,JGI; 2018-05-08
SRR6959056,SAMN08776895,,,"USA: Emeryville, California",37.8300 N 122.2900 W,,,,,,,,JGI; 2018-03-22
ERR3587143,SAMEA2622097,,,,"(latituden=-13.0023, longitudee=-95.9759)",,,,-13.0023,-12.9488,-95.9759,-96.0293,EBI; 2014-09-13
ERR1719441,SAMEA2623264,,,,"(latituden=17.0854, longitudee=-118.8913)",,,,17.0854,17.0612,-118.8913,-118.8987,EBI; 2016-11-11
ERR1719461,ERS489566,,(search radius=5 degrees) Marine Ecoregion:Cargados Carajos/Tromelin Island (MRGID:22029),,"(latituden=-16.9672, longitudee=53.9337)",,,,-16.9672,-16.9687,53.9337,53.9293,EBI; 2014-07-17
SRR6399634,SRS2776412,,,"USA:california,Palo Alto",37.40988969 N 122.1593497 W,,,,,,,,"Stanford University, Chao Jiang; 2017-12-20"
SRR9002443,SRS4714090,,,Austria: Klosterneuburg,48.3000 N 16.2000 E,,,,,,,,JGI; 2018-05-08
SRR6399656,SRS2776391,,,"USA:california,Danville",37.804 N 121.939 W,,,,,,,,"Stanford University, Chao Jiang; 2017-12-20"
SRR4831668,SAMN05944606,,,Atlantic Ocean:Western Tropical North Atlantic Ocean,10.664 N 55.032 W,,,,,,,,"University of Georgia, Brandon Satinsky; 2016-10-26"
ERR1719271,SAMEA2621048,,,,"(latituden=-31.027, longitudee=4.6802)",,,,-31.027,-31.0136,4.6802,4.6932,EBI; 2014-09-16
SRR6326569,SRS2717744,,,USA: southeastern coast,34.07 N 81.05 W,,,,,,,,"University of Georgia, Christa Smith; 2017-11-28"
SRR8840712,SAMN06267459,,,"USA: Wyoming, Yellowstone National Park",44.963 N 110.715 W,,,,,,,,JGI; 2017-01-25
ERR4147600,SAMEA6832786,,,,44.11663889 N 4.00054722 E,,,,,,,,EBI; 2020-05-22
SRR7004409,SAMN08777610,,,Colombia: Department of Meta,3.8381 N 73.3194 W,,,,,,,,JGI; 2018-03-22
SRR352317,SAMN00737780,,,,,,,,,,,,"Eawag, David Johnson; 2011-10-07"
ERR3587047,ERS490437,,,,"(latituden=-8.7789, longitudee=-17.9099)",,,,-8.7789,-8.7788,-17.9099,-17.9098,EBI; 2019-10-10
SRR7523429,SAMN09631230,,,Canada:British Columbia,53.801963 N 128.832635 W,,,,,,,,"National Research Council Canada, Julien Tremblay; 2018-07-09"
SRR6399702,SAMN08216016,,,"USA:california,Palo Alto",37.40988969 N 122.1593497 W,,,,,,,,"Stanford University, Chao Jiang; 2017-12-20"
SRR6400000,SRS2776615,,,"Canada:NA,Banff",51.17311515 N 115.5629289 W,,,,,,,,"Stanford University, Chao Jiang; 2017-12-20"
ERR3586757,SAMEA2622593,,(search radius=5 degrees) Marine Ecoregion:Rapa-Pitcairn (MRGID:21942),,"(latituden=-23.1108, longitudee=-134.9327)",,,,-23.1108,-23.1107,-134.9327,-134.9327,EBI; 2019-10-10
ERR1712051,SAMEA2731035,,"(search radius=5 degrees) Marine Ecoregion:Gulf of Maine/Bay of Fundy (MRGID:21849), Marine Ecoregion:Virginian (MRGID:21853)",,"(latituden=39.2077, longitudee=-70.034)",,,,39.2077,39.2032,-70.034,-70.034,EBI; 2016-10-29
SRR9938995,SRS5245220,,,Singapore,1.318 N 103.772 E,,,,,,,,"National University of Singapore, Gourvendu Saxena; 2019-08-06"
ERR3587160,ERS492680,,"(search radius=5 degrees) Marine Province:Marquesas (MRGID:21741), Marine Ecoregion:Marquesas (MRGID:21741)",,"(latituden=-8.9729, longitudee=-139.2393)",,,,-8.9729,-8.978,-139.2393,-139.2432,EBI; 2014-09-13
SRR8549997,SAMN10864893,,,USA: California,33.7416 N 117.7042 W,,,,,,,,JGI; 2019-02-01
SRR4094459,SRS1656033,,,USA:North Pacific,,,,,,,,,"University of Georgia, Bryndan Durham; 2015-01-20"
SRR8550005,SAMN10864802,,,USA: California,33.7417 N 117.7042 W,,,,,,,,JGI; 2019-02-01
SRR6458251,SAMN08330087,,,Kenya: 83.6 C Alkaline Hot Spring in Little Magadi,2 S 36 E,,,,,,,,"Taita Taveta University, Anne Kambura; 2018-01-09"
SRR7495878,SAMN09092580,,,USA: Michigan,42.3948 N 85.3738 W,,,,,,,,JGI; 2018-05-08
SRR5839346,SAMN06265791,,,Canada: Quebec,48.2311 N 71.2508 W,,,,,,,,JGI; 2017-01-25
SRR7523406,SRS3547708,,,Canada:British Columbia,53.801963 N 128.832635 W,,,,,,,,"National Research Council Canada, Julien Tremblay; 2018-07-09"
SRR10914241,SRS6015321,,,China:NanJing,32.0 N 118.7 E,,,,,,,,"NanJing University, Depeng Wang; 2020-01-17"
SRR7086933,SRS3238083,,,USA: Washington,46.3130 N 123.9970 W,,,,,,,,JGI; 2018-03-22
ERR1719190,ERS493804,,,,"(latituden=6.3356, longitudee=-103.0399)",,,,6.3356,6.3357,-103.0399,-103.0516,EBI; 2016-11-11
ERR1712168,ERS489984,,,,"(latituden=-29.5015, longitudee=37.9946)",,,,-29.5015,-29.5024,37.9946,37.9998,EBI; 2014-07-17
SRR6399639,SRS2776406,,,"USA:nevada,Reno",39.4757191 N 119.7786747 W,,,,,,,,"Stanford University, Chao Jiang; 2017-12-20"
SRR7971199,SAMN09094483,,,USA: Montana,46.9233 N 110.8694 W,,,,,,,,JGI; 2018-05-08
SRR5833978,SAMN06265074,,,"USA:Trout Bog, Vilas County, Wisconsin",46.041 N 89.686 W,,,,,,,,JGI; 2017-01-25
SRR8840711,SRS4573802,,,"USA:Milwaukee, Wisconsin, USA",43.0230 N 87.8950 W,,,,,,,,JGI; 2017-01-25
SRR5246517,SRS1970757,,,"USA:S. Glens Falls, New York, USA",43.099444 N 73.604444 W,,,,,,,,JGI; 2017-01-25
SRR7085642,SRS3236843,,,USA: Oregon,46.1950 N 123.8220 W,,,,,,,,JGI; 2018-03-22
ERR1719301,SAMEA2622770,,"(search radius=5 degrees) Marine Province:Marquesas (MRGID:21741), Marine Ecoregion:Marquesas (MRGID:21741)",,"(latituden=-9.1504, longitudee=-140.5216)",,,,-9.1504,-9.1552,-140.5216,-140.5284,EBI; 2014-07-17
SRR7687319,SRS3665071,,,USA: Louisiana,29.8571 N 89.9778 W,,,,,,,,JGI; 2018-05-08
ERR3322224,SAMEA5564709,,,Sweden,,56°55.851,17°03.640,2,,,,,EBI; 2020-07-29
ERR3586700,ERS1308773,,[AO] Arctic Ocean (MRGID:1906),,,,,,79.2233,79.2023,66.3435,66.5078,EBI; 2016-10-29
ERR3170085,SAMEA5366168,,,Denmark,,56.469698,10.037277,,,,,,EBI; 2019-04-01
SRR5204320,SRS1940951,,,USA: Lake Michigan,43.1998 N 86.5698 W,,,,,,,,JGI; 2017-01-25
SRR9719632,GSM3956363,,,,,,,,,,,,"Biochemistry and Biotechnology, University of Thessaly, Sotirios Vasileiadis; 2019-07-19"
SRR3097590,SRS1244987,,,USA:California,37.96 N 119.02 W,,,,,,,,"University of Georgia, Christian Edwardson; 2016-01-10"
ERR3586980,SAMEA2622905,,(search radius=5 degrees) Marine Ecoregion:Line Islands (MRGID:21839),,"(latituden=0.0003, longitudee=-153.6759)",,,,0.0003,0.0095,-153.6759,-153.7143,EBI; 2019-10-10
SRR1601413,SRS716688,,,USA,41.7667 N 83.3086 W,,,,,,,,"Stony Brook University, Matthew Harke; 2014-09-25"
ERR845237,ERS699891,,,,,,,,,,,,EBI; 2015-04-08
SRR7687158,SAMN09094232,,,USA: Georgia,31.4271 N 81.6053 W,,,,,,,,JGI; 2018-05-08
SRR9646386,SRS5065667,,,USA: Washington,47.6519 N 122.3113 W,,,,,,,,JGI; 2019-04-25
SRR6336461,SAMN08100519,,,Germany: giessen,50.32 N 8.413 E,,,,,,,,"Max Planck Institute for Terrestrial Microbiology, Qicheng Bei; 2017-11-27"
