group1	group2	evalue
Clstr020	Clstr033	9.10E-07
Clstr020	Clstr096	0.001
Clstr020	Clstr140	8.18E-07
Clstr020	Clstr171	2.77E-05
Clstr020	Clstr198	3.16E-05
Clstr020	Clstr226	6.20E-07
Clstr020	Clstr245	0.00018
Clstr020	Clstr272	4.66E-12
Clstr020	Clstr409	0.001
Clstr020	Clstr570	0.001
Clstr020	Clstr571	5.51E-06
Clstr021	Clstr136	3.71E-05
Clstr021	Clstr316	2.94E-05
Clstr021	Clstr417	2.57E-08
Clstr021	Clstr423	0.000544
Clstr021	Clstr609	0.000186
Clstr022	Clstr092	3.11E-20
Clstr024	Clstr008	0.000104
Clstr024	Clstr010	0.000573
Clstr024	Clstr014	1.76E-10
Clstr024	Clstr019	3.77E-10
Clstr024	Clstr029	9.00E-07
Clstr024	Clstr085	1.04E-05
Clstr024	Clstr086	1.60E-10
Clstr024	Clstr108	4.53E-05
Clstr024	Clstr113	4.43E-08
Clstr024	Clstr122	7.64E-11
Clstr024	Clstr265	5.78E-05
Clstr024	Clstr279	6.15E-05
Clstr024	Clstr281	0.000331
Clstr024	Clstr453	0.001
Clstr024	Clstr476	2.07E-07
Clstr024	Clstr588	0.000127
Clstr024	Clstr670	0.000108
Clstr024	Clstr674	0.000723
Clstr025	Clstr018	1.69E-06
Clstr025	Clstr035	2.11E-10
Clstr025	Clstr039	3.62E-08
Clstr025	Clstr054	5.27E-06
Clstr025	Clstr066	1.06E-10
Clstr025	Clstr074	1.46E-08
Clstr025	Clstr079	7.05E-13
Clstr025	Clstr083	8.56E-15
Clstr025	Clstr084	1.11E-19
Clstr025	Clstr090	1.89E-08
Clstr025	Clstr091	1.72E-11
Clstr025	Clstr095	8.98E-07
Clstr025	Clstr127	2.37E-07
Clstr025	Clstr142	2.12E-12
Clstr025	Clstr182	6.63E-10
Clstr025	Clstr217	2.41E-13
Clstr025	Clstr221	2.23E-05
Clstr025	Clstr230	1.78E-23
Clstr025	Clstr300	3.97E-08
Clstr025	Clstr323	1.01E-09
Clstr025	Clstr363	0.0003155
Clstr025	Clstr367	1.75E-11
Clstr025	Clstr436	6.63E-08
Clstr025	Clstr449	1.27E-06
Clstr025	Clstr503	1.27E-05
Clstr025	Clstr617	2.65E-12
Clstr026	Clstr323	0.000733
Clstr026	Clstr482	8.21E-07
Clstr028	qinvirus	1.56E-05
Clstr028	yuevirus	3.67E-05
Clstr029	Clstr008	0.000337
Clstr029	Clstr014	4.88E-06
Clstr029	Clstr019	8.87E-06
Clstr029	Clstr024	8.58E-07
Clstr029	Clstr085	4.88E-14
Clstr029	Clstr086	3.78E-06
Clstr029	Clstr108	0.000157
Clstr029	Clstr113	6.25E-06
Clstr029	Clstr122	1.98E-06
Clstr029	Clstr265	6.23E-13
Clstr029	Clstr279	0.000263
Clstr029	Clstr281	1.49E-12
Clstr029	Clstr476	0.000136
Clstr029	Clstr588	1.36E-08
Clstr029	Clstr670	0.00021
Clstr029	Clstr674	0.00035
Clstr031	Clstr088	0.000424
Clstr031	Clstr106	0.000141
Clstr031	Clstr124	1.84E-10
Clstr031	Clstr172	2.09E-08
Clstr031	Clstr200	3.53E-14
Clstr031	Clstr204	2.38E-08
Clstr031	Clstr205	0.00035
Clstr031	Clstr208	0.0005955
Clstr031	Clstr216	5.09E-13
Clstr031	Clstr239	2.04E-06
Clstr031	Clstr288	1.78E-05
Clstr031	Clstr357	3.11E-13
Clstr031	Clstr366	9.47E-11
Clstr031	Clstr369	6.37E-05
Clstr031	Clstr396	1.52E-13
Clstr031	Clstr397	0.0001295
Clstr031	Clstr441	2.78E-05
Clstr031	Clstr448	5.94E-16
Clstr031	Clstr455	0.000237
Clstr031	Clstr456	3.43E-08
Clstr031	Clstr470	0.000724
Clstr031	Clstr485	3.06E-05
Clstr031	Clstr519	3.45E-13
Clstr031	Clstr530	1.79E-07
Clstr031	Clstr551	0.0003425
Clstr031	Clstr566	4.53E-07
Clstr031	Clstr581	5.67E-06
Clstr031	Clstr607	1.43E-06
Clstr031	Clstr612	0.000218
Clstr031	Clstr629	2.53E-06
Clstr031	Clstr645	3.34E-09
Clstr031	Clstr661	1.18E-07
Clstr031	Clstr665	1.61E-07
Clstr031	Clstr673	1.40E-05
Clstr031	Clstr695	1.51E-05
Clstr031	Clstr696	1.25E-05
Clstr032	Clstr007	8.31E-06
Clstr032	Clstr012	0.001
Clstr032	Clstr069	2.78E-08
Clstr032	Clstr101	3.73E-07
Clstr032	Clstr413	0.000457
Clstr032	Clstr462	0.0003135
Clstr032	Clstr483	2.80E-08
Clstr032	partiti-picobirna	1.01E-06
Clstr033	Clstr002	0.000198
Clstr033	Clstr003	0.0007955
Clstr033	Clstr020	8.08E-07
Clstr033	Clstr040	0.001
Clstr033	Clstr096	1.02E-05
Clstr033	Clstr140	1.07E-08
Clstr033	Clstr171	1.72E-06
Clstr033	Clstr198	5.91E-07
Clstr033	Clstr226	0.0003535
Clstr033	Clstr245	3.77E-13
Clstr033	Clstr272	1.75E-06
Clstr033	Clstr380	0.00011
Clstr033	Clstr570	9.64E-05
Clstr033	Clstr571	6.07E-07
Clstr033	Clstr600	0.001
Clstr034	Clstr371	9.17E-07
Clstr035	Clstr018	1.22E-08
Clstr035	Clstr025	1.74E-10
Clstr035	Clstr039	2.83E-08
Clstr035	Clstr054	9.47E-08
Clstr035	Clstr066	1.25E-07
Clstr035	Clstr074	2.16E-08
Clstr035	Clstr079	2.54E-09
Clstr035	Clstr083	5.39E-10
Clstr035	Clstr084	1.72E-10
Clstr035	Clstr090	8.05E-08
Clstr035	Clstr091	1.87E-08
Clstr035	Clstr095	7.07E-09
Clstr035	Clstr127	9.14E-09
Clstr035	Clstr142	8.63E-09
Clstr035	Clstr182	1.51E-08
Clstr035	Clstr217	2.04E-07
Clstr035	Clstr221	6.84E-06
Clstr035	Clstr230	1.11E-10
Clstr035	Clstr300	1.83E-06
Clstr035	Clstr323	5.74E-07
Clstr035	Clstr367	3.22E-09
Clstr035	Clstr436	4.64E-07
Clstr035	Clstr449	4.99E-06
Clstr035	Clstr503	4.27E-05
Clstr035	Clstr617	1.39E-10
Clstr036	Clstr042	2.30E-06
Clstr036	Clstr119	1.46E-06
Clstr037	Clstr166	0.001
Clstr038	Clstr009	4.34E-05
Clstr038	Clstr144	3.00E-04
Clstr038	Clstr428	5.74E-09
Clstr038	Clstr555	4.56E-07
Clstr038	Clstr632	4.82E-05
Clstr038	Clstr638	4.94E-05
Clstr039	Clstr018	1.05E-05
Clstr039	Clstr025	3.95E-08
Clstr039	Clstr035	3.75E-08
Clstr039	Clstr054	3.78E-05
Clstr039	Clstr066	7.52E-10
Clstr039	Clstr074	2.61E-07
Clstr039	Clstr079	9.99E-08
Clstr039	Clstr083	2.43E-07
Clstr039	Clstr084	1.13E-07
Clstr039	Clstr090	2.85E-07
Clstr039	Clstr091	6.26E-07
Clstr039	Clstr095	6.15E-06
Clstr039	Clstr127	8.98E-07
Clstr039	Clstr142	1.87E-07
Clstr039	Clstr182	1.31E-31
Clstr039	Clstr221	4.98E-05
Clstr039	Clstr230	3.03E-06
Clstr039	Clstr300	5.42E-07
Clstr039	Clstr323	2.01E-06
Clstr039	Clstr367	3.26E-31
Clstr039	Clstr436	9.02E-08
Clstr039	Clstr449	4.92E-05
Clstr039	Clstr503	3.38E-05
Clstr039	Clstr617	3.92E-09
Clstr040	Clstr033	0.001
Clstr040	Clstr245	0.000637
Clstr040	Clstr479	1.24E-20
Clstr041	Clstr048	8.21E-06
Clstr041	Clstr051	3.76E-06
Clstr041	Clstr075	6.55E-06
Clstr041	Clstr082	0.000502
Clstr041	Clstr097	8.34E-08
Clstr041	Clstr159	2.25E-05
Clstr041	Clstr173	1.13E-05
Clstr041	Clstr179	8.08E-07
Clstr041	Clstr184	1.70E-05
Clstr041	Clstr188	3.03E-05
Clstr041	Clstr210	3.33E-06
Clstr041	Clstr219	3.60E-07
Clstr041	Clstr220	1.51E-06
Clstr041	Clstr227	0.001
Clstr041	Clstr247	0.001
Clstr041	Clstr252	0.000805
Clstr041	Clstr255	0.000435
Clstr041	Clstr256	0.000596
Clstr041	Clstr257	8.12E-05
Clstr041	Clstr263	3.78E-07
Clstr041	Clstr276	8.11E-06
Clstr041	Clstr286	0.000148
Clstr041	Clstr299	1.83E-05
Clstr041	Clstr302	8.96E-05
Clstr041	Clstr321	0.000143
Clstr041	Clstr338	2.37E-05
Clstr041	Clstr349	5.37E-05
Clstr041	Clstr406	9.29E-05
Clstr041	Clstr416	5.36E-05
Clstr041	Clstr424	1.22E-06
Clstr041	Clstr439	0.0003195
Clstr041	Clstr442	3.13E-08
Clstr041	Clstr446	0.001
Clstr041	Clstr457	7.57E-06
Clstr041	Clstr458	4.87E-05
Clstr041	Clstr464	0.000257
Clstr041	Clstr486	1.84E-06
Clstr041	Clstr500	1.16E-07
Clstr041	Clstr507	0.0003065
Clstr041	Clstr513	4.53E-05
Clstr041	Clstr593	5.64E-05
Clstr041	Clstr597	2.49E-05
Clstr041	Clstr608	0.000276
Clstr041	Clstr611	1.77E-06
Clstr041	Clstr643	0.000661
Clstr041	Clstr650	5.90E-05
Clstr041	Clstr653	0.000387
Clstr041	Clstr658	0.000229
Clstr041	Clstr669	1.61E-07
Clstr041	Clstr681	0.001
Clstr041	Clstr694	2.18E-05
Clstr042	Clstr036	2.66E-06
Clstr042	Clstr119	6.01E-10
Clstr043	Clstr060	3.36E-08
Clstr043	Clstr067	9.61E-06
Clstr043	Clstr181	0.000867
Clstr043	Clstr469	2.80E-09
Clstr043	Clstr494	3.48E-06
Clstr043	Clstr510	0.000239
Clstr043	Clstr549	3.25E-07
Clstr043	Clstr563	2.47E-05
Clstr043	Clstr586	0.001
Clstr043	Clstr664	1.48E-05
Clstr043	Clstr666	0.001
Clstr045	Clstr047	6.63E-07
Clstr045	Clstr077	4.10E-08
Clstr045	Clstr103	4.69E-11
Clstr045	Clstr120	3.10E-16
Clstr045	Clstr146	2.27E-19
Clstr045	Clstr153	2.41E-05
Clstr045	Clstr165	3.23E-25
Clstr045	Clstr169	2.71E-08
Clstr045	Clstr175	0.000233
Clstr045	Clstr196	1.11E-24
Clstr045	Clstr224	1.04E-11
Clstr045	Clstr241	2.19E-18
Clstr045	Clstr264	2.81E-21
Clstr045	Clstr306	7.67E-06
Clstr045	Clstr341	6.35E-14
Clstr045	Clstr375	2.65E-07
Clstr045	Clstr377	1.12E-07
Clstr045	Clstr384	6.57E-07
Clstr045	Clstr418	5.94E-05
Clstr045	Clstr461	0.000398
Clstr045	Clstr527	1.91E-27
Clstr045	Clstr528	5.92E-05
Clstr045	Clstr633	8.17E-11
Clstr045	Clstr635	7.92E-06
Clstr045	Clstr646	1.16E-07
Clstr045	Clstr685	0.0005355
Clstr045	Clstr686	1.00E-07
Clstr045	zhaovirus	0.000372
Clstr047	Clstr045	5.69E-07
Clstr047	Clstr077	1.55E-34
Clstr047	Clstr120	0.000359
Clstr047	Clstr146	1.83E-07
Clstr047	Clstr165	5.64E-08
Clstr047	Clstr169	2.56E-07
Clstr047	Clstr196	3.52E-06
Clstr047	Clstr224	1.36E-06
Clstr047	Clstr241	1.08E-06
Clstr047	Clstr264	2.83E-06
Clstr047	Clstr306	3.26E-05
Clstr047	Clstr341	6.84E-06
Clstr047	Clstr375	2.80E-06
Clstr047	Clstr377	2.48E-06
Clstr047	Clstr384	1.26E-05
Clstr047	Clstr499	0.000501
Clstr047	Clstr527	1.50E-07
Clstr047	Clstr528	0.000686
Clstr047	Clstr635	2.97E-20
Clstr047	Clstr646	9.66E-07
Clstr047	Clstr686	3.34E-08
Clstr047	Clstr703	4.00E-15
Clstr048	Clstr041	9.45E-06
Clstr048	Clstr051	0.000448
Clstr048	Clstr075	0.001
Clstr048	Clstr082	0.001
Clstr048	Clstr097	9.86E-06
Clstr048	Clstr173	0.000499
Clstr048	Clstr179	0.000144
Clstr048	Clstr184	0.000267
Clstr048	Clstr210	0.000407
Clstr048	Clstr219	0.00022
Clstr048	Clstr220	2.96E-05
Clstr048	Clstr299	0.0001865
Clstr048	Clstr321	0.000128
Clstr048	Clstr338	0.000136
Clstr048	Clstr424	4.41E-05
Clstr048	Clstr442	8.82E-06
Clstr048	Clstr457	0.000744
Clstr048	Clstr458	3.10E-05
Clstr048	Clstr486	0.000223
Clstr048	Clstr500	6.31E-05
Clstr048	Clstr513	2.73E-06
Clstr048	Clstr608	0.001
Clstr048	Clstr611	2.64E-05
Clstr048	Clstr653	0.001
Clstr048	Clstr694	0.001
Clstr049	Clstr134	1.33E-05
Clstr049	Clstr189	0.001
Clstr049	Clstr212	1.29E-05
Clstr049	Clstr260	5.08E-05
Clstr049	Clstr301	3.13E-05
Clstr049	Clstr410	0.0003675
Clstr049	Clstr560	6.22E-06
Clstr050	Clstr128	0.001
Clstr050	Clstr236	1.62E-10
Clstr050	Clstr333	1.26E-06
Clstr050	Clstr379	1.94E-13
Clstr051	Clstr041	3.85E-06
Clstr051	Clstr048	0.000409
Clstr051	Clstr075	3.72E-06
Clstr051	Clstr097	6.52E-07
Clstr051	Clstr107	0.00023
Clstr051	Clstr159	0.000837
Clstr051	Clstr173	2.93E-05
Clstr051	Clstr179	6.25E-07
Clstr051	Clstr184	0.000377
Clstr051	Clstr188	3.59E-05
Clstr051	Clstr210	6.49E-05
Clstr051	Clstr219	4.26E-06
Clstr051	Clstr220	7.27E-06
Clstr051	Clstr257	0.000137
Clstr051	Clstr263	1.09E-05
Clstr051	Clstr276	3.19E-05
Clstr051	Clstr286	0.001
Clstr051	Clstr299	0.001
Clstr051	Clstr302	0.000458
Clstr051	Clstr321	1.53E-05
Clstr051	Clstr338	8.20E-06
Clstr051	Clstr406	0.001
Clstr051	Clstr416	0.0002055
Clstr051	Clstr424	1.90E-08
Clstr051	Clstr442	4.31E-08
Clstr051	Clstr446	0.000482
Clstr051	Clstr457	1.36E-08
Clstr051	Clstr458	0.000662
Clstr051	Clstr464	9.90E-05
Clstr051	Clstr486	2.00E-06
Clstr051	Clstr500	1.07E-06
Clstr051	Clstr507	0.000726
Clstr051	Clstr513	0.0002585
Clstr051	Clstr558	0.000595
Clstr051	Clstr593	0.000437
Clstr051	Clstr597	0.0002485
Clstr051	Clstr611	2.14E-06
Clstr051	Clstr650	0.000127
Clstr051	Clstr658	0.0005825
Clstr051	Clstr669	6.73E-06
Clstr051	Clstr694	0.000265
Clstr052	Clstr056	0.0006325
Clstr052	Clstr063	1.89E-06
Clstr052	Clstr450	2.68E-06
Clstr052	Clstr679	7.40E-07
Clstr053	Clstr089	9.58E-12
Clstr053	Clstr093	4.42E-11
Clstr053	Clstr111	0.000688
Clstr053	Clstr138	9.61E-07
Clstr053	Clstr231	2.37E-17
Clstr053	Clstr270	0.000129
Clstr053	Clstr284	0.00059
Clstr053	Clstr362	3.89E-05
Clstr053	Clstr538	2.70E-14
Clstr054	Clstr018	1.11E-15
Clstr054	Clstr025	4.35E-06
Clstr054	Clstr035	8.89E-08
Clstr054	Clstr039	2.89E-05
Clstr054	Clstr066	1.63E-05
Clstr054	Clstr074	4.73E-13
Clstr054	Clstr079	3.80E-10
Clstr054	Clstr083	6.10E-05
Clstr054	Clstr084	9.68E-05
Clstr054	Clstr090	7.72E-14
Clstr054	Clstr091	1.03E-13
Clstr054	Clstr095	1.47E-18
Clstr054	Clstr127	5.92E-18
Clstr054	Clstr142	2.25E-10
Clstr054	Clstr182	2.84E-05
Clstr054	Clstr217	4.99E-05
Clstr054	Clstr221	1.68E-06
Clstr054	Clstr230	8.29E-05
Clstr054	Clstr300	1.77E-08
Clstr054	Clstr323	3.02E-09
Clstr054	Clstr367	1.72E-05
Clstr054	Clstr436	0.000616
Clstr054	Clstr449	3.90E-05
Clstr054	Clstr503	0.000742
Clstr054	Clstr617	9.17E-15
Clstr055	Clstr016	2.26E-08
Clstr056	Clstr052	0.000803
Clstr056	Clstr063	3.88E-06
Clstr056	Clstr312	6.89E-17
Clstr056	Clstr679	5.41E-07
Clstr057	Clstr401	0.001
Clstr057	Clstr572	0.0008625
Clstr058	Clstr123	7.42E-10
Clstr058	Clstr269	2.62E-09
Clstr058	Clstr297	9.64E-10
Clstr059	Clstr321	7.31E-09
Clstr059	Clstr330	0.00023
Clstr059	Clstr669	2.70E-10
Clstr060	Clstr043	3.47E-08
Clstr060	Clstr067	0.000161
Clstr060	Clstr469	3.46E-07
Clstr060	Clstr494	1.04E-05
Clstr060	Clstr510	0.001
Clstr060	Clstr549	6.47E-08
Clstr060	Clstr563	0.000203
Clstr060	Clstr586	0.001
Clstr060	Clstr664	1.85E-06
Clstr060	Clstr666	0.000588
Clstr062	Clstr156	6.11E-31
Clstr062	Clstr185	5.10E-18
Clstr062	Clstr235	6.12E-15
Clstr062	Clstr400	4.52E-07
Clstr062	Clstr637	2.66E-25
Clstr063	Clstr052	2.10E-06
Clstr063	Clstr056	3.03E-06
Clstr063	Clstr298	1.19E-07
Clstr063	Clstr312	1.10E-06
Clstr063	Clstr360	1.06E-05
Clstr063	Clstr401	2.12E-06
Clstr063	Clstr402	0.001
Clstr063	Clstr679	2.06E-06
Clstr064	birna-permutotetra	1.94E-07
Clstr064	Clstr072	6.71E-08
Clstr064	Clstr426	9.73E-07
Clstr064	Clstr521	0.000267
Clstr064	Clstr636	0.001
Clstr066	Clstr018	6.16E-06
Clstr066	Clstr025	3.28E-11
Clstr066	Clstr035	6.80E-08
Clstr066	Clstr039	1.54E-10
Clstr066	Clstr054	1.76E-05
Clstr066	Clstr074	7.55E-08
Clstr066	Clstr079	2.15E-11
Clstr066	Clstr083	1.85E-07
Clstr066	Clstr084	5.34E-08
Clstr066	Clstr090	2.06E-07
Clstr066	Clstr091	1.70E-10
Clstr066	Clstr095	5.60E-06
Clstr066	Clstr127	1.02E-06
Clstr066	Clstr142	2.90E-10
Clstr066	Clstr182	2.93E-12
Clstr066	Clstr217	0.000275
Clstr066	Clstr221	8.76E-05
Clstr066	Clstr230	2.08E-06
Clstr066	Clstr300	1.68E-07
Clstr066	Clstr323	6.78E-09
Clstr066	Clstr367	8.74E-12
Clstr066	Clstr436	6.86E-08
Clstr066	Clstr449	5.81E-05
Clstr066	Clstr503	1.08E-05
Clstr066	Clstr617	5.89E-12
Clstr067	Clstr043	9.70E-06
Clstr067	Clstr060	0.000167
Clstr067	Clstr469	5.93E-05
Clstr067	Clstr494	7.90E-08
Clstr067	Clstr510	6.76E-06
Clstr067	Clstr549	6.32E-06
Clstr067	Clstr664	8.55E-06
Clstr067	Clstr666	0.000228
Clstr068	Clstr191	4.50E-16
Clstr068	Clstr493	6.06E-14
Clstr069	Clstr032	3.05E-08
Clstr069	Clstr101	0.001
Clstr069	Clstr303	0.001
Clstr069	Clstr483	1.33E-06
Clstr069	partiti-picobirna	0.000303
Clstr070	Clstr205	1.44E-15
Clstr070	Clstr216	0.000165
Clstr070	Clstr266	4.36E-12
Clstr070	Clstr357	0.000481
Clstr070	Clstr448	0.000783
Clstr070	Clstr566	0.0002545
Clstr070	Clstr581	0.000766
Clstr070	Clstr661	0.000124
Clstr070	Clstr673	3.32E-15
Clstr071	Clstr109	9.54E-24
Clstr071	Clstr595	0.00011985
Clstr072	birna-permutotetra	6.00E-06
Clstr072	Clstr064	5.65E-08
Clstr072	Clstr426	5.91E-08
Clstr072	Clstr521	0.000456
Clstr072	Clstr587	0.000723
Clstr073	Clstr676	1.79E-09
Clstr073	narna-levi	3.19E-06
Clstr074	Clstr018	1.91E-14
Clstr074	Clstr025	1.01E-08
Clstr074	Clstr035	1.87E-08
Clstr074	Clstr039	1.60E-07
Clstr074	Clstr054	3.80E-13
Clstr074	Clstr066	6.89E-08
Clstr074	Clstr079	3.71E-15
Clstr074	Clstr083	9.37E-05
Clstr074	Clstr084	1.38E-07
Clstr074	Clstr090	3.17E-20
Clstr074	Clstr091	5.28E-20
Clstr074	Clstr095	4.07E-16
Clstr074	Clstr127	3.88E-19
Clstr074	Clstr142	2.47E-16
Clstr074	Clstr182	3.96E-07
Clstr074	Clstr217	0.000413
Clstr074	Clstr221	8.56E-06
Clstr074	Clstr230	6.32E-05
Clstr074	Clstr300	2.70E-11
Clstr074	Clstr323	7.07E-16
Clstr074	Clstr367	9.88E-08
Clstr074	Clstr436	4.80E-05
Clstr074	Clstr449	0.000146
Clstr074	Clstr503	0.000872
Clstr074	Clstr617	5.68E-19
Clstr075	Clstr041	6.65E-06
Clstr075	Clstr048	0.001
Clstr075	Clstr051	3.80E-06
Clstr075	Clstr082	0.001
Clstr075	Clstr097	4.40E-07
Clstr075	Clstr159	2.87E-05
Clstr075	Clstr173	4.87E-05
Clstr075	Clstr179	9.85E-06
Clstr075	Clstr184	0.000106
Clstr075	Clstr188	1.23E-13
Clstr075	Clstr210	0.001
Clstr075	Clstr219	3.22E-06
Clstr075	Clstr220	1.35E-06
Clstr075	Clstr257	0.000645
Clstr075	Clstr263	7.87E-06
Clstr075	Clstr276	2.30E-05
Clstr075	Clstr286	0.001
Clstr075	Clstr299	5.73E-05
Clstr075	Clstr302	0.0002145
Clstr075	Clstr321	1.87E-05
Clstr075	Clstr338	0.000197
Clstr075	Clstr406	0.000512
Clstr075	Clstr422	0.001
Clstr075	Clstr424	6.76E-09
Clstr075	Clstr442	7.95E-07
Clstr075	Clstr446	9.16E-05
Clstr075	Clstr457	9.17E-06
Clstr075	Clstr486	1.95E-06
Clstr075	Clstr500	2.60E-06
Clstr075	Clstr508	6.55E-11
Clstr075	Clstr593	0.000107
Clstr075	Clstr597	0.000378
Clstr075	Clstr611	3.89E-06
Clstr075	Clstr650	7.80E-05
Clstr075	Clstr658	0.001
Clstr075	Clstr669	9.60E-07
Clstr075	Clstr694	9.98E-05
Clstr076	Clstr080	5.31E-09
Clstr076	Clstr193	0.000748
Clstr076	Clstr260	0.0003215
Clstr076	Clstr477	1.32E-23
Clstr077	Clstr045	4.68E-08
Clstr077	Clstr047	1.99E-34
Clstr077	Clstr120	0.000293
Clstr077	Clstr146	3.33E-08
Clstr077	Clstr165	8.29E-09
Clstr077	Clstr169	2.57E-08
Clstr077	Clstr196	1.28E-06
Clstr077	Clstr224	4.13E-09
Clstr077	Clstr241	3.32E-06
Clstr077	Clstr264	2.28E-07
Clstr077	Clstr306	0.000106
Clstr077	Clstr341	3.40E-06
Clstr077	Clstr375	4.15E-07
Clstr077	Clstr377	5.06E-08
Clstr077	Clstr384	2.93E-06
Clstr077	Clstr418	3.20E-07
Clstr077	Clstr527	2.71E-09
Clstr077	Clstr528	6.80E-08
Clstr077	Clstr635	2.82E-29
Clstr077	Clstr646	1.75E-07
Clstr077	Clstr686	5.73E-09
Clstr077	Clstr703	1.70E-15
Clstr078	Clstr115	6.45E-05
Clstr078	Clstr197	0.00011255
Clstr079	Clstr018	3.36E-12
Clstr079	Clstr025	6.65E-13
Clstr079	Clstr035	2.43E-09
Clstr079	Clstr039	8.33E-08
Clstr079	Clstr054	3.59E-10
