group	evalue
Clstr040	Clstr245	0.000637
Clstr040	Clstr479	1.24e-20
Clstr041	Clstr048	8.205e-06
Clstr041	Clstr051	3.755e-06
Clstr041	Clstr075	6.545e-06
Clstr041	Clstr082	0.000502
Clstr041	Clstr097	8.34e-08
Clstr041	Clstr159	2.245e-05
Clstr041	Clstr173	1.13e-05
Clstr041	Clstr179	8.08e-07
Clstr041	Clstr184	1.7e-05
Clstr041	Clstr188	3.03e-05
Clstr041	Clstr210	3.33e-06
Clstr041	Clstr219	3.6e-07
Clstr041	Clstr220	1.51e-06
Clstr041	Clstr227	0.001
Clstr041	Clstr247	0.001
Clstr041	Clstr252	0.000805
Clstr041	Clstr255	0.000435
Clstr041	Clstr256	0.000596
Clstr041	Clstr257	8.12e-05
Clstr041	Clstr263	3.775e-07
Clstr041	Clstr276	8.11e-06
Clstr041	Clstr286	0.000148
Clstr041	Clstr299	1.83e-05
Clstr041	Clstr302	8.96e-05
Clstr041	Clstr321	0.000143
Clstr041	Clstr338	2.37e-05
Clstr041	Clstr349	5.37e-05
Clstr041	Clstr406	9.29e-05
Clstr041	Clstr416	5.355e-05
Clstr041	Clstr424	1.22e-06
Clstr041	Clstr439	0.0003195
Clstr041	Clstr442	3.13e-08
Clstr041	Clstr446	0.001
Clstr041	Clstr457	7.565e-06
Clstr041	Clstr458	4.87e-05
Clstr041	Clstr464	0.000257
Clstr041	Clstr486	1.84e-06
Clstr041	Clstr500	1.16e-07
Clstr041	Clstr507	0.0003065
Clstr041	Clstr513	4.53e-05
Clstr041	Clstr593	5.64e-05
Clstr041	Clstr597	2.49e-05
Clstr041	Clstr608	0.000276
Clstr041	Clstr611	1.77e-06
Clstr041	Clstr643	0.000661
Clstr041	Clstr650	5.9e-05
Clstr041	Clstr653	0.000387
Clstr041	Clstr658	0.000229
Clstr041	Clstr669	1.61e-07
Clstr041	Clstr681	0.001
Clstr041	Clstr694	2.175e-05
Clstr042	Clstr036	2.66e-06
Clstr042	Clstr119	6.01e-10
Clstr043	Clstr060	3.36e-08
Clstr043	Clstr067	9.61e-06
Clstr043	Clstr181	0.000867
Clstr043	Clstr469	2.795e-09
Clstr043	Clstr494	3.48e-06
Clstr043	Clstr510	0.000239
Clstr043	Clstr549	3.25e-07
Clstr043	Clstr563	2.47e-05
Clstr043	Clstr586	0.001
Clstr043	Clstr664	1.475e-05
Clstr043	Clstr666	0.001
Clstr045	Clstr047	6.63e-07
Clstr045	Clstr077	4.1e-08
Clstr045	Clstr103	4.685e-11
Clstr045	Clstr120	3.1e-16
Clstr045	Clstr146	2.27e-19
Clstr045	Clstr153	2.41e-05
Clstr045	Clstr165	3.23e-25
Clstr045	Clstr169	2.71e-08
Clstr045	Clstr175	0.000233
Clstr045	Clstr196	1.11e-24
Clstr045	Clstr224	1.035e-11
Clstr045	Clstr241	2.19e-18
Clstr045	Clstr264	2.81e-21
Clstr045	Clstr306	7.67e-06
Clstr045	Clstr341	6.35e-14
Clstr045	Clstr375	2.65e-07
Clstr045	Clstr377	1.12e-07
Clstr045	Clstr384	6.57e-07
Clstr045	Clstr418	5.94e-05
Clstr045	Clstr461	0.000398
Clstr045	Clstr527	1.91e-27
Clstr045	Clstr528	5.92e-05
Clstr045	Clstr633	8.165e-11
Clstr045	Clstr635	7.92e-06
Clstr045	Clstr646	1.16e-07
Clstr045	Clstr685	0.0005355
Clstr045	Clstr686	1.0025e-07
Clstr045	zhaovirus	0.000372
Clstr047	Clstr045	5.69e-07
Clstr047	Clstr077	1.55e-34
Clstr047	Clstr120	0.000359
Clstr047	Clstr146	1.83e-07
Clstr047	Clstr165	5.635e-08
Clstr047	Clstr169	2.56e-07
Clstr047	Clstr196	3.52e-06
Clstr047	Clstr224	1.355e-06
Clstr047	Clstr241	1.08e-06
Clstr047	Clstr264	2.83e-06
Clstr047	Clstr306	3.26e-05
Clstr047	Clstr341	6.835e-06
Clstr047	Clstr375	2.8e-06
Clstr047	Clstr377	2.48e-06
Clstr047	Clstr384	1.26e-05
Clstr047	Clstr499	0.000501
Clstr047	Clstr527	1.5e-07
Clstr047	Clstr528	0.000686
Clstr047	Clstr635	2.97e-20
Clstr047	Clstr646	9.66e-07
Clstr047	Clstr686	3.34e-08
Clstr047	Clstr703	4e-15
Clstr048	Clstr041	9.45e-06
Clstr048	Clstr051	0.000448
Clstr048	Clstr075	0.001
Clstr048	Clstr082	0.001
Clstr048	Clstr097	9.86e-06
Clstr048	Clstr173	0.000499
Clstr048	Clstr179	0.000144
Clstr048	Clstr184	0.000267
Clstr048	Clstr210	0.000407
Clstr048	Clstr219	0.00022
Clstr048	Clstr220	2.96e-05
Clstr048	Clstr299	0.0001865
Clstr048	Clstr321	0.000128
Clstr048	Clstr338	0.000136
Clstr048	Clstr424	4.41e-05
Clstr048	Clstr442	8.82e-06
Clstr048	Clstr457	0.000744
Clstr048	Clstr458	3.1e-05
Clstr048	Clstr486	0.000223
Clstr048	Clstr500	6.305e-05
Clstr048	Clstr513	2.73e-06
Clstr048	Clstr608	0.001
Clstr048	Clstr611	2.64e-05
Clstr048	Clstr653	0.001
Clstr048	Clstr694	0.001
Clstr049	Clstr134	1.325e-05
Clstr049	Clstr189	0.001
Clstr049	Clstr212	1.29e-05
Clstr049	Clstr260	5.08e-05
Clstr049	Clstr301	3.13e-05
Clstr049	Clstr410	0.0003675
Clstr049	Clstr560	6.22e-06
Clstr050	Clstr128	0.001
Clstr050	Clstr236	1.615e-10
Clstr050	Clstr333	1.26e-06
Clstr050	Clstr379	1.935e-13
Clstr051	Clstr041	3.85e-06
Clstr051	Clstr048	0.000409
Clstr051	Clstr075	3.715e-06
Clstr051	Clstr097	6.52e-07
Clstr051	Clstr107	0.00023
Clstr051	Clstr159	0.000837
Clstr051	Clstr173	2.93e-05
Clstr051	Clstr179	6.25e-07
Clstr051	Clstr184	0.000377
Clstr051	Clstr188	3.59e-05
Clstr051	Clstr210	6.49e-05
Clstr051	Clstr219	4.26e-06
Clstr051	Clstr220	7.27e-06
Clstr051	Clstr257	0.000137
Clstr051	Clstr263	1.09e-05
Clstr051	Clstr276	3.185e-05
Clstr051	Clstr286	0.001
Clstr051	Clstr299	0.001
Clstr051	Clstr302	0.000458
Clstr051	Clstr321	1.53e-05
Clstr051	Clstr338	8.195e-06
Clstr051	Clstr406	0.001
Clstr051	Clstr416	0.0002055
Clstr051	Clstr424	1.9e-08
Clstr051	Clstr442	4.305e-08
Clstr051	Clstr446	0.000482
Clstr051	Clstr457	1.36e-08
Clstr051	Clstr458	0.000662
Clstr051	Clstr464	9.9e-05
Clstr051	Clstr486	2e-06
Clstr051	Clstr500	1.065e-06
Clstr051	Clstr507	0.000726
Clstr051	Clstr513	0.0002585
Clstr051	Clstr558	0.000595
Clstr051	Clstr593	0.000437
Clstr051	Clstr597	0.0002485
Clstr051	Clstr611	2.135e-06
Clstr051	Clstr650	0.000127
Clstr051	Clstr658	0.0005825
Clstr051	Clstr669	6.73e-06
Clstr051	Clstr694	0.000265
Clstr052	Clstr056	0.0006325
Clstr052	Clstr063	1.89e-06
Clstr052	Clstr450	2.68e-06
Clstr052	Clstr679	7.395e-07
Clstr053	Clstr089	9.575e-12
Clstr053	Clstr093	4.42e-11
Clstr053	Clstr111	0.000688
Clstr053	Clstr138	9.605e-07
Clstr053	Clstr231	2.365e-17
Clstr053	Clstr270	0.000129
Clstr053	Clstr284	0.00059
Clstr053	Clstr362	3.89e-05
Clstr053	Clstr538	2.695e-14
Clstr054	Clstr018	1.11e-15
Clstr054	Clstr025	4.35e-06
Clstr054	Clstr035	8.89e-08
Clstr054	Clstr039	2.89e-05
Clstr054	Clstr066	1.63e-05
Clstr054	Clstr074	4.73e-13
Clstr054	Clstr079	3.8e-10
Clstr054	Clstr083	6.1e-05
Clstr054	Clstr084	9.68e-05
Clstr054	Clstr090	7.72e-14
Clstr054	Clstr091	1.03e-13
Clstr054	Clstr095	1.47e-18
Clstr054	Clstr127	5.92e-18
Clstr054	Clstr142	2.25e-10
Clstr054	Clstr182	2.84e-05
Clstr054	Clstr217	4.985e-05
Clstr054	Clstr221	1.68e-06
Clstr054	Clstr230	8.29e-05
Clstr054	Clstr300	1.765e-08
Clstr054	Clstr323	3.02e-09
Clstr054	Clstr367	1.72e-05
Clstr054	Clstr436	0.000616
Clstr054	Clstr449	3.9e-05
Clstr054	Clstr503	0.000742
Clstr054	Clstr617	9.17e-15
Clstr055	Clstr016	2.26e-08
Clstr056	Clstr052	0.000803
Clstr056	Clstr063	3.88e-06
Clstr056	Clstr312	6.89e-17
Clstr056	Clstr679	5.41e-07
Clstr057	Clstr401	0.001
Clstr057	Clstr572	0.0008625
Clstr058	Clstr123	7.42e-10
Clstr058	Clstr269	2.62e-09
Clstr058	Clstr297	9.635e-10
Clstr059	Clstr321	7.305e-09
Clstr059	Clstr330	0.00023
Clstr059	Clstr669	2.7e-10
Clstr060	Clstr043	3.465e-08
Clstr060	Clstr067	0.000161
Clstr060	Clstr469	3.46e-07
Clstr060	Clstr494	1.04e-05
Clstr060	Clstr510	0.001
Clstr060	Clstr549	6.47e-08
Clstr060	Clstr563	0.000203
Clstr060	Clstr586	0.001
Clstr060	Clstr664	1.85e-06
Clstr060	Clstr666	0.000588
Clstr062	Clstr156	6.11e-31
Clstr062	Clstr185	5.1e-18
Clstr062	Clstr235	6.12e-15
Clstr062	Clstr400	4.52e-07
Clstr062	Clstr637	2.66e-25
Clstr063	Clstr052	2.1e-06
Clstr063	Clstr056	3.03e-06
Clstr063	Clstr298	1.19e-07
Clstr063	Clstr312	1.1e-06
Clstr063	Clstr360	1.06e-05
Clstr063	Clstr401	2.115e-06
Clstr063	Clstr402	0.001
Clstr063	Clstr679	2.06e-06
Clstr064	birna-permutotetra	1.94e-07
Clstr064	Clstr072	6.705e-08
Clstr064	Clstr426	9.73e-07
Clstr064	Clstr521	0.000267
Clstr064	Clstr636	0.001
Clstr066	Clstr018	6.16e-06
Clstr066	Clstr025	3.275e-11
Clstr066	Clstr035	6.8e-08
Clstr066	Clstr039	1.535e-10
Clstr066	Clstr054	1.755e-05
Clstr066	Clstr074	7.55e-08
Clstr066	Clstr079	2.15e-11
Clstr066	Clstr083	1.85e-07
Clstr066	Clstr084	5.34e-08
Clstr066	Clstr090	2.055e-07
Clstr066	Clstr091	1.7e-10
Clstr066	Clstr095	5.595e-06
Clstr066	Clstr127	1.02e-06
Clstr066	Clstr142	2.895e-10
Clstr066	Clstr182	2.93e-12
Clstr066	Clstr217	0.000275
Clstr066	Clstr221	8.755e-05
Clstr066	Clstr230	2.08e-06
Clstr066	Clstr300	1.68e-07
Clstr066	Clstr323	6.78e-09
Clstr066	Clstr367	8.74e-12
Clstr066	Clstr436	6.86e-08
Clstr066	Clstr449	5.81e-05
Clstr066	Clstr503	1.08e-05
Clstr066	Clstr617	5.885e-12
Clstr067	Clstr043	9.7e-06
Clstr067	Clstr060	0.000167
Clstr067	Clstr469	5.925e-05
Clstr067	Clstr494	7.9e-08
Clstr067	Clstr510	6.76e-06
Clstr067	Clstr549	6.32e-06
Clstr067	Clstr664	8.55e-06
Clstr067	Clstr666	0.000228
Clstr068	Clstr191	4.495e-16
Clstr068	Clstr493	6.06e-14
Clstr069	Clstr032	3.05e-08
Clstr069	Clstr101	0.001
Clstr069	Clstr303	0.001
Clstr069	Clstr483	1.33e-06
Clstr069	partiti-picobirna	0.000303
Clstr070	Clstr205	1.44e-15
Clstr070	Clstr216	0.000165
Clstr070	Clstr266	4.36e-12
Clstr070	Clstr357	0.000481
Clstr070	Clstr448	0.000783
Clstr070	Clstr566	0.0002545
Clstr070	Clstr581	0.000766
Clstr070	Clstr661	0.000124
Clstr070	Clstr673	3.32e-15
Clstr071	Clstr109	9.54e-24
Clstr071	Clstr595	0.00011985
Clstr072	birna-permutotetra	6e-06
Clstr072	Clstr064	5.65e-08
Clstr072	Clstr426	5.905e-08
Clstr072	Clstr521	0.000456
Clstr072	Clstr587	0.000723
Clstr073	Clstr676	1.79e-09
Clstr073	narna-levi	3.19e-06
Clstr074	Clstr018	1.91e-14
Clstr074	Clstr025	1.01e-08
Clstr074	Clstr035	1.87e-08
Clstr074	Clstr039	1.6e-07
Clstr074	Clstr054	3.795e-13
Clstr074	Clstr066	6.89e-08
Clstr074	Clstr079	3.71e-15
Clstr074	Clstr083	9.37e-05
Clstr074	Clstr084	1.38e-07
Clstr074	Clstr090	3.17e-20
Clstr074	Clstr091	5.28e-20
Clstr074	Clstr095	4.07e-16
Clstr074	Clstr127	3.875e-19
Clstr074	Clstr142	2.47e-16
Clstr074	Clstr182	3.96e-07
Clstr074	Clstr217	0.000413
Clstr074	Clstr221	8.56e-06
Clstr074	Clstr230	6.32e-05
Clstr074	Clstr300	2.7e-11
Clstr074	Clstr323	7.07e-16
Clstr074	Clstr367	9.88e-08
Clstr074	Clstr436	4.8e-05
Clstr074	Clstr449	0.000146
Clstr074	Clstr503	0.000872
Clstr074	Clstr617	5.675e-19
Clstr075	Clstr041	6.645e-06
Clstr075	Clstr048	0.001
Clstr075	Clstr051	3.795e-06
Clstr075	Clstr082	0.001
Clstr075	Clstr097	4.4e-07
Clstr075	Clstr159	2.87e-05
Clstr075	Clstr173	4.865e-05
Clstr075	Clstr179	9.845e-06
Clstr075	Clstr184	0.000106
Clstr075	Clstr188	1.225e-13
Clstr075	Clstr210	0.001
Clstr075	Clstr219	3.22e-06
Clstr075	Clstr220	1.345e-06
Clstr075	Clstr257	0.000645
Clstr075	Clstr263	7.87e-06
Clstr075	Clstr276	2.3e-05
Clstr075	Clstr286	0.001
Clstr075	Clstr299	5.73e-05
Clstr075	Clstr302	0.0002145
Clstr075	Clstr321	1.87e-05
Clstr075	Clstr338	0.000197
Clstr075	Clstr406	0.000512
Clstr075	Clstr422	0.001
Clstr075	Clstr424	6.76e-09
Clstr075	Clstr442	7.95e-07
Clstr075	Clstr446	9.16e-05
Clstr075	Clstr457	9.17e-06
Clstr075	Clstr486	1.945e-06
Clstr075	Clstr500	2.6e-06
Clstr075	Clstr508	6.545e-11
Clstr075	Clstr593	0.000107
Clstr075	Clstr597	0.000378
Clstr075	Clstr611	3.885e-06
Clstr075	Clstr650	7.795e-05
Clstr075	Clstr658	0.001
Clstr075	Clstr669	9.6e-07
Clstr075	Clstr694	9.98e-05
Clstr076	Clstr080	5.305e-09
Clstr076	Clstr193	0.000748
Clstr076	Clstr260	0.0003215
Clstr076	Clstr477	1.32e-23
Clstr077	Clstr045	4.675e-08
Clstr077	Clstr047	1.985e-34
Clstr077	Clstr120	0.000293
Clstr077	Clstr146	3.33e-08
Clstr077	Clstr165	8.285e-09
Clstr077	Clstr169	2.57e-08
Clstr077	Clstr196	1.28e-06
Clstr077	Clstr224	4.13e-09
Clstr077	Clstr241	3.32e-06
Clstr077	Clstr264	2.28e-07
Clstr077	Clstr306	0.000106
Clstr077	Clstr341	3.4e-06
Clstr077	Clstr375	4.145e-07
Clstr077	Clstr377	5.06e-08
Clstr077	Clstr384	2.93e-06
Clstr077	Clstr418	3.2e-07
Clstr077	Clstr527	2.705e-09
Clstr077	Clstr528	6.8e-08
Clstr077	Clstr635	2.82e-29
Clstr077	Clstr646	1.745e-07
Clstr077	Clstr686	5.73e-09
Clstr077	Clstr703	1.695e-15
Clstr078	Clstr115	6.45e-05
Clstr078	Clstr197	0.00011255
Clstr079	Clstr018	3.355e-12
Clstr079	Clstr025	6.65e-13
Clstr079	Clstr035	2.43e-09
Clstr079	Clstr039	8.33e-08
Clstr079	Clstr054	3.585e-10
Clstr079	Clstr066	5.87e-11
